C:\Users\yusuf\Desktop\data\IMG\center_2021_08_30_23_23_49_951.jpg, C:\Users\yusuf\Desktop\data\IMG\left_2021_08_30_23_23_49_951.jpg, C:\Users\yusuf\Desktop\data\IMG\right_2021_08_30_23_23_49_951.jpg, 0, 0, 0, 7.808338E-05
C:\Users\yusuf\Desktop\data\IMG\center_2021_08_30_23_23_50_049.jpg, C:\Users\yusuf\Desktop\data\IMG\left_2021_08_30_23_23_50_049.jpg, C:\Users\yusuf\Desktop\data\IMG\right_2021_08_30_23_23_50_049.jpg, 0, 0, 0, 8.277999E-05
C:\Users\yusuf\Desktop\data\IMG\center_2021_08_30_23_23_50_155.jpg, C:\Users\yusuf\Desktop\data\IMG\left_2021_08_30_23_23_50_155.jpg, C:\Users\yusuf\Desktop\data\IMG\right_2021_08_30_23_23_50_155.jpg, 0, 0, 0, 8.099328E-05
C:\Users\yusuf\Desktop\data\IMG\center_2021_08_30_23_23_50_263.jpg, C:\Users\yusuf\Desktop\data\IMG\left_2021_08_30_23_23_50_263.jpg, C:\Users\yusuf\Desktop\data\IMG\right_2021_08_30_23_23_50_263.jpg, 0, 0, 0, 7.928642E-05
C:\Users\yusuf\Desktop\data\IMG\center_2021_08_30_23_23_50_369.jpg, C:\Users\yusuf\Desktop\data\IMG\left_2021_08_30_23_23_50_369.jpg, C:\Users\yusuf\Desktop\data\IMG\right_2021_08_30_23_23_50_369.jpg, 0, 0, 0, 7.838311E-05
C:\Users\yusuf\Desktop\data\IMG\center_2021_08_30_23_23_50_471.jpg, C:\Users\yusuf\Desktop\data\IMG\left_2021_08_30_23_23_50_471.jpg, C:\Users\yusuf\Desktop\data\IMG\right_2021_08_30_23_23_50_471.jpg, 0, 0, 0, 8.202298E-05
C:\Users\yusuf\Desktop\data\IMG\center_2021_08_30_23_23_50_578.jpg, C:\Users\yusuf\Desktop\data\IMG\left_2021_08_30_23_23_50_578.jpg, C:\Users\yusuf\Desktop\data\IMG\right_2021_08_30_23_23_50_578.jpg, 0, 0, 0, 7.891856E-05
C:\Users\yusuf\Desktop\data\IMG\center_2021_08_30_23_23_50_680.jpg, C:\Users\yusuf\Desktop\data\IMG\left_2021_08_30_23_23_50_680.jpg, C:\Users\yusuf\Desktop\data\IMG\right_2021_08_30_23_23_50_680.jpg, 0, 0, 0, 8.133116E-05
C:\Users\yusuf\Desktop\data\IMG\center_2021_08_30_23_23_50_784.jpg, C:\Users\yusuf\Desktop\data\IMG\left_2021_08_30_23_23_50_784.jpg, C:\Users\yusuf\Desktop\data\IMG\right_2021_08_30_23_23_50_784.jpg, 0, 0, 0, 7.852713E-05
C:\Users\yusuf\Desktop\data\IMG\center_2021_08_30_23_23_50_884.jpg, C:\Users\yusuf\Desktop\data\IMG\left_2021_08_30_23_23_50_884.jpg, C:\Users\yusuf\Desktop\data\IMG\right_2021_08_30_23_23_50_884.jpg, 0, 0, 0, 7.845408E-05
C:\Users\yusuf\Desktop\data\IMG\center_2021_08_30_23_23_50_991.jpg, C:\Users\yusuf\Desktop\data\IMG\left_2021_08_30_23_23_50_991.jpg, C:\Users\yusuf\Desktop\data\IMG\right_2021_08_30_23_23_50_991.jpg, 0, 0, 0, 7.835055E-05
